id,x,y,z,group,timestamp_s
777,277,838,4,g1,1700046620
778,278,841,5,g2,1700046680
779,279,844,6,g3,1700046740
780,280,847,7,g0,1700046800
781,281,850,8,g1,1700046860
782,282,853,-8,g2,1700046920
783,283,856,-7,g3,1700046980
784,284,859,-6,g0,1700047040
785,285,862,-5,g1,1700047100
786,286,865,-4,g2,1700047160
787,287,868,-3,g3,1700047220
788,288,871,-2,g0,1700047280
789,289,874,-1,g1,1700047340
790,290,877,0,g2,1700047400
791,291,880,1,g3,1700047460
792,292,883,2,g0,1700047520
793,293,886,3,g1,1700047580
794,294,889,4,g2,1700047640
795,295,892,5,g3,1700047700
796,296,895,6,g0,1700047760
797,297,898,7,g1,1700047820
798,298,901,8,g2,1700047880
799,299,904,-8,g3,1700047940
800,300,907,-7,g0,1700048000
801,301,910,-6,g1,1700048060
802,302,913,-5,g2,1700048120
803,303,916,-4,g3,1700048180
804,304,919,-3,g0,1700048240
805,305,922,-2,g1,1700048300
806,306,925,-1,g2,1700048360
807,307,928,0,g3,1700048420
808,308,931,1,g0,1700048480
809,309,934,2,g1,1700048540
810,310,937,3,g2,1700048600
811,311,940,4,g3,1700048660
812,312,943,5,g0,1700048720
813,313,946,6,g1,1700048780
814,314,949,7,g2,1700048840
815,315,952,8,g3,1700048900
816,316,955,-8,g0,1700048960
817,317,958,-7,g1,1700049020
818,318,961,-6,g2,1700049080
819,319,964,-5,g3,1700049140
820,320,967,-4,g0,1700049200
821,321,970,-3,g1,1700049260
822,322,973,-2,g2,1700049320
823,323,976,-1,g3,1700049380
824,324,979,0,g0,1700049440
825,325,982,1,g1,1700049500
826,326,985,2,g2,1700049560
827,327,988,3,g3,1700049620
828,328,991,4,g0,1700049680
829,329,994,5,g1,1700049740
830,330,997,6,g2,1700049800
831,331,1000,7,g3,1700049860
832,332,1003,8,g0,1700049920
833,333,1006,-8,g1,1700049980
834,334,1009,-7,g2,1700050040
835,335,1012,-6,g3,1700050100
836,336,1015,-5,g0,1700050160
837,337,1018,-4,g1,1700050220
838,338,1021,-3,g2,1700050280
839,339,1024,-2,g3,1700050340
840,340,1027,-1,g0,1700050400
841,341,1030,0,g1,1700050460
842,342,1033,1,g2,1700050520
843,343,1036,2,g3,1700050580
844,344,1039,3,g0,1700050640
845,345,1042,4,g1,1700050700
846,346,1045,5,g2,1700050760
847,347,1048,6,g3,1700050820
848,348,1051,7,g0,1700050880
849,349,1054,8,g1,1700050940
850,350,1057,-8,g2,1700051000
851,351,1060,-7,g3,1700051060
852,352,1063,-6,g0,1700051120
853,353,1066,-5,g1,1700051180
854,354,1069,-4,g2,1700051240
855,355,1072,-3,g3,1700051300
856,356,1075,-2,g0,1700051360
857,357,1078,-1,g1,1700051420
858,358,1081,0,g2,1700051480
859,359,1084,1,g3,1700051540
860,360,1087,2,g0,1700051600
861,361,1090,3,g1,1700051660
862,362,1093,4,g2,1700051720
863,363,1096,5,g3,1700051780
864,364,1099,6,g0,1700051840
865,365,1102,7,g1,1700051900
866,366,1105,8,g2,1700051960
867,367,1108,-8,g3,1700052020
868,368,1111,-7,g0,1700052080
869,369,1114,-6,g1,1700052140
870,370,1117,-5,g2,1700052200
871,371,1120,-4,g3,1700052260
872,372,1123,-3,g0,1700052320
873,373,1126,-2,g1,1700052380
874,374,1129,-1,g2,1700052440
875,375,1132,0,g3,1700052500
876,376,1135,1,g0,1700052560
877,377,1138,2,g1,1700052620
878,378,1141,3,g2,1700052680
879,379,1144,4,g3,1700052740
880,380,1147,5,g0,1700052800
881,381,1150,6,g1,1700052860
882,382,1153,7,g2,1700052920
883,383,1156,8,g3,1700052980
884,384,1159,-8,g0,1700053040
885,385,1162,-7,g1,1700053100
886,386,1165,-6,g2,1700053160
887,387,1168,-5,g3,1700053220
888,388,1171,-4,g0,1700053280
889,389,1174,-3,g1,1700053340
890,390,1177,-2,g2,1700053400
891,391,1180,-1,g3,1700053460
892,392,1183,0,g0,1700053520
893,393,1186,1,g1,1700053580
894,394,1189,2,g2,1700053640
895,395,1192,3,g3,1700053700
896,396,1195,4,g0,1700053760
897,397,1198,5,g1,1700053820
898,398,1201,6,g2,1700053880
899,399,1204,7,g3,1700053940
900,400,1207,8,g0,1700054000
901,401,1210,-8,g1,1700054060
902,402,1213,-7,g2,1700054120
903,403,1216,-6,g3,1700054180
904,404,1219,-5,g0,1700054240
905,405,1222,-4,g1,1700054300
906,406,1225,-3,g2,1700054360
907,407,1228,-2,g3,1700054420
908,408,1231,-1,g0,1700054480
909,409,1234,0,g1,1700054540
910,410,1237,1,g2,1700054600
911,411,1240,2,g3,1700054660
912,412,1243,3,g0,1700054720
913,413,1246,4,g1,1700054780
914,414,1249,5,g2,1700054840
915,415,1252,6,g3,1700054900
916,416,1255,7,g0,1700054960
917,417,1258,8,g1,1700055020
918,418,1261,-8,g2,1700055080
919,419,1264,-7,g3,1700055140
920,420,1267,-6,g0,1700055200
921,421,1270,-5,g1,1700055260
922,422,1273,-4,g2,1700055320
923,423,1276,-3,g3,1700055380
924,424,1279,-2,g0,1700055440
925,425,1282,-1,g1,1700055500
926,426,1285,0,g2,1700055560
927,427,1288,1,g3,1700055620
928,428,1291,2,g0,1700055680
929,429,1294,3,g1,1700055740
930,430,1297,4,g2,1700055800
931,431,1300,5,g3,1700055860
932,432,1303,6,g0,1700055920
933,433,1306,7,g1,1700055980
934,434,1309,8,g2,1700056040
935,435,1312,-8,g3,1700056100
936,436,1315,-7,g0,1700056160
937,437,1318,-6,g1,1700056220
938,438,1321,-5,g2,1700056280
939,439,1324,-4,g3,1700056340
940,440,1327,-3,g0,1700056400
941,441,1330,-2,g1,1700056460
942,442,1333,-1,g2,1700056520
943,443,1336,0,g3,1700056580
944,444,1339,1,g0,1700056640
945,445,1342,2,g1,1700056700
946,446,1345,3,g2,1700056760
947,447,1348,4,g3,1700056820
948,448,1351,5,g0,1700056880
949,449,1354,6,g1,1700056940
950,450,1357,7,g2,1700057000
951,451,1360,8,g3,1700057060
952,452,1363,-8,g0,1700057120
953,453,1366,-7,g1,1700057180
954,454,1369,-6,g2,1700057240
955,455,1372,-5,g3,1700057300
956,456,1375,-4,g0,1700057360
957,457,1378,-3,g1,1700057420
958,458,1381,-2,g2,1700057480
959,459,1384,-1,g3,1700057540
960,460,1387,0,g0,1700057600
961,461,1390,1,g1,1700057660
962,462,1393,2,g2,1700057720
963,463,1396,3,g3,1700057780
964,464,1399,4,g0,1700057840
965,465,1402,5,g1,1700057900
966,466,1405,6,g2,1700057960
967,467,1408,7,g3,1700058020
968,468,1411,8,g0,1700058080
969,469,1414,-8,g1,1700058140
970,470,1417,-7,g2,1700058200
971,471,1420,-6,g3,1700058260
972,472,1423,-5,g0,1700058320
973,473,1426,-4,g1,1700058380
974,474,1429,-3,g2,1700058440
975,475,1432,-2,g3,1700058500
976,476,1435,-1,g0,1700058560
977,477,1438,0,g1,1700058620
978,478,1441,1,g2,1700058680
979,479,1444,2,g3,1700058740
980,480,1447,3,g0,1700058800
981,481,1450,4,g1,1700058860
982,482,1453,5,g2,1700058920
983,483,1456,6,g3,1700058980
984,484,1459,7,g0,1700059040
985,485,1462,8,g1,1700059100
986,486,1465,-8,g2,1700059160
987,487,1468,-7,g3,1700059220
988,488,1471,-6,g0,1700059280
989,489,1474,-5,g1,1700059340
990,490,1477,-4,g2,1700059400
991,491,1480,-3,g3,1700059460
992,492,1483,-2,g0,1700059520
993,493,1486,-1,g1,1700059580
994,494,1489,0,g2,1700059640
995,495,1492,1,g3,1700059700
996,496,1495,2,g0,1700059760
997,497,1498,3,g1,1700059820
998,498,1501,4,g2,1700059880
999,499,1504,5,g3,1700059940
